Reference number,Chemical_name,Common_name,"Used_for"
211,"2 -Aminopyridin-3-ol; 2-Amino-3-Hydroxypyridine ",2-AMINO-3-HYDROXYPYRIDINE,"(a) Hair dye sub­stance in oxidat­ive hair dye products (b) Products in­tended for col­ouring eyelashes"
212,2 -Methyl-1-naphthyl acetate,1-ACETOXY-2-METHYLNAPH-THALENE,"Hair dye substance in oxidative hair dye products"
213,1 -Hydroxy-2-methylnaphthalene,"2-METHYL-1-NAPHTHOL ","Hair dye substance in oxidative hair dye products"
214,"Disodium 5,7 -dinitro-8-oxido-2- naphthalenesulfonate CI 1036",ACID YELLOW 1,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products"
215,"4 -Amino-3-nitrophenol ",4-AMINO-3-NITROPHENOL,"(a) Hair dye substance in oxidative hair dye products (b)Hair dye substance in non -oxidative hair dye products "
216,"Naphthalene -2,7-diol","2,7-NAPHTHALENEDIOL","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non - oxidative hair dye products"
217,m -Aminophenol and its salts,M-AMINOPHENOL; M-AMINOPHENOL HCL; M-AMINOPHENOL SULFATE,"(a) Hair dye substance in oxidative hair dye products (b) Products intended for colouring eyelashes"
218,"6 -Hydroxy-3,4- dimethyl-2-pyridone","2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE ","Hair dye substance in oxidative hair dye products"
221,"2 -(4-Methyl-2-nitroanilino)ethanol ",HYDROXYETHYL-2-NITRO-P-TOLUIDINE,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products "
221,Hydroxyethyl -2-nitro-p-toluidine and its salts,HYDROXYETHYL-2-NITRO-P-TOLUIDINE,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products "
222,"1 -Hydroxy-2-beta-hydroxyethylamino-4,6-dinitrobenzene ",2-HYDROXYETHYL PICRAMIC ACID,"(a) Hair dye substance in oxidative hair day products  (b) Hair dye substance in non -oxidative hair day products  "
223,4 -Methylaminophenol and its salts,P-METHYLAMINOPHENOL,"Hair dye in oxidative hair dye products"
225,1 -(beta-Hydroxyethyl)amino-2-nitro-4-N-ethyl-N-(beta-hydroxyethyl)aminobenzene and its hydrocloride,HC BLUE NO. 12,"(a) Hair dye substance in oxidative hair dye products (b)  Hair dye substance in non -oxidative hair dye products "
227,"3 -Amino-2,4-dichlorophenol and its hydrochloride","3-AMINO-2,4-DICHLOROPHENOL","(a) Hair dye substance oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products"
228,"3 -Methyl-1-phenyl-5-pyrazolone ",PHENYL METHYL PYRAZOLONE,"Hair dye subtance in oxidative hair dye products"
229,"5 -[(2-hydroxyethyl)amino]-o-cresol ",2-METHYL-5-HYDROXYETHYL AMINOPHENOL,"(a) Hair dye substance in oxidatie hair dye products. (b) Products intended for colouring eyelashes"
230,"2.3 -Dihydro-2H-1,4-benzoxazin-6-ol ",HYDROXYBENZOMORPHOLINE,"Hair dye substance in oxidative hair dye products"
231,"1,5 -Di-(beta-hydroxyethylamino)-2-nitro-4-chlorobenzene (see note 17)",HC YELLOW NO. 10,"Hair dye substance in non -oxidative hair dyes products "
232,"3,5 -Diamino-2,6-dimethoxypyridine and its salts","2,6-DIMETHOXY-3,5-PYRIDINEDIAMINE HCL","Hair dye substance in oxidative hair dye products"
234,"Ethanol, 2 -[(4-amino-2-methyl-5-nitrophenyl)amino]- and its salts ",HC VIOLET NO 1,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products "
235,2 -[3-(Methylamino)-4-nitrophenoxy]ethanol  (see note 17),3-METHYLAMINO-4-NITROPHENOXYETHANOL,"Hair due substance in non -oxidative hair dye products"
236,"2 -[(2-methoxy-4-nitrophenyl)amino]ethanol and its salts ","2-HYDROXYETHYLAMINO-5-NITROANISOLE ","Hair dye substance in non -oxidative hair dye products"
237,"2,2' -[(4-Amino-3-nitrophenyl)imino]bisethanol hydrochloride and its salts",HC RED NO 13,"(a) Hair due substance in oxidative hair dye products (b) Hair due substance in non -oxidative hair dye products "
238,"Naphthalene -1,5-diol and its salts","1,5-NAPHTHALENEDIOL","a) Hair dye substance in oxidative hair dye products b) Hair dye substance in non -oxidative hair dye products"
239,Hydroxypropyl bis(N -hydroxyethyl-p-phenylenediamine) and its tetrahydro-chloride,HYDROXYPROPYL BIS(N-HYDROXYETHYL-P-PHENYLENEDIAMINE) HCL,"Hair dye substance in oxidative hair dye products"
240,"4 -Nitro-1,2-phenylenediamine","4-NITRO-O-PHENYLENEDIAMINE ","Hair dye substance in oxidative hair dye products"
241,"5 -Amino-o-cresol ",4-AMINO-2-HYDROXYTOLUENE,"(a) Hair dye substance in oxidative hair dye products (b) Products intented for colouring eyelashes"
242,"2,4 -Diaminophenoxyethanol, its hydrochloride and its sulphate","2,4-DIAMINOPHENOXYETHANOL HCL","(a) Hair dye substance in oxidative hair dye products (b) Products intended for colouring eyelashes"
243,"1,3 -benzenediol, 2-methyl",2-METHYLRESORCINOL,"(a) Hair dye sub­stance in oxidat­ive hair dye products (b) Hair dye sub­stance in non -oxidative hair dye products (c) Products in­tended for col­ouring eyelashes"
244,"4 -Amino-m-cresol ",4-AMINO-M-CRESOL,"(a) Hair dye substance in oxidative hair dye products (b) Products intended for colouring eyelashes"
245,2 -[(3-Amino-4-methoxyphenyl)amino]ethanol and its sulphate,2-AMINO-4-HYDROXYETHYLAMINOANISOLE / 2-AMINO-4-HYDROXYETHYLAMINOANISOLE SULFATE,"(a) Hair dye substance in oxidative hair dye products (b) Products intended for colouring eyelashes"
246,"Hydroxyethyl -3,4-methylenedioxyaniline and its hydrochloide ","HYDROXYETHYL-3,4-METHYLENEDIOXYANILINE HCL","Hair dye substance in oxidative hair dye products"
247,"2,2' -[[4-[(2-Hydroxyethyl)amino]-3-nitrophenyl]imino]bisethanol (see note 17)",HC BLUE NO 2,"Hair dye substance in non -oxidative hair dye products"
248,4 -[(2-Hydroxyethyl)amino-3-nitrophenol,3-NITRO-P-HYDROXYETHYLAMINOPHENOL,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products "
249,"1 -(.beta.-Ureidoethyl)amino-4-nitrobenzene ","4-NITROPHENYL AMINOETHYLUREA ","(a) Hair dye substance in oxidative hair dye products  (b) Hair dye substance in non -oxidative hair dye products  "
250,"1 -Amino-2-nitro-4-(2', 3'-dihydroxypropyl)amino-5-chloro-benzene + 1,4-bis-(2',3'-dihydroxypropyl)amino-2-nitro-5-chlorobenzene",HC RED NO 10+ HC RED NO 11,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products "
250,"1 -amino-2-nitro-4-(2',3'-dihydroxypropyl)amino-5-chlorobenzene and 1,4-bis-(2',3'-dihydroxypropyl)amino-2-nitro-5-chlorobenzene and its salts",HC RED NO 10 + HC RED NO 11,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products "
251,2 -(4-Amino-3-nitroanilino)ethanol,"HC RED NO 7 ","Hair dye substance in non -oxidative hair dye products"
251,"Phenol, 2 -Chloro-6-(ethylamino)-4-nitro- and its salts",2-CHLORO-6-ETHYLAMINO-4-NITROPHENOL,"(a) Oxidising colouring agents for hair dyeing (b) Non -oxidising colouring agents for hair dyeing "
252,"2 -Amino-6-chloro-4-nitrophenol ",2-AMINO-6-CHLORO-4-NITROPHENOL,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non - oxidative hair dye products "
253,2 -[bis(2-Hydroxyethyl)amino]-5- nitrophenol,"HC YELLOW NO 4 ","Hair dye substance in non -oxidative hair dye products"
253,2 -[bis(2-Hydroxye­thyl)amino]-5-nitro­phenol,HC YELLOW NO. 4,"Hair dye substance in non -oxidative hair dye products "
254,"Disodium 5 -amino-4-hydroxy-3-(phenylazo)naphathlene-2,7-disulphonate (see note 17); (CI 17200) ","ACID RED 33 ","Hair dye substance in non -oxidative hair dye products"
255,2 -[(2-Nitrophenyl)amino] ethanol,"HC YELLOW NO 2 ","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products "
256," 4 -[(2-Nitrophenyl)amino]phenol"," HC ORANGE NO 1  ","Hair day substance in non -oxidative hair dye products"
257,Laureth -9,LAURETH-9,"(a) Leave -on products  (b) Rinse-off products"
258,"2 -Nitro-N1-phenyl-benzene-1,4- diamine","HC RED NO 1 ","Hair dye substance in non -oxidative hair dye products"
259,"1 -Methoxy-3-(β-aminoethyl) amino-4-nitrobenzene, hydrochloride","HC YELLOW NO 9 ","Hair dye substance in non -oxidative hair dye products"
260,1 -(4-Aminophenylazo)-2-methyl- 4-(bis-2-hydroxyethyl) aminobenzene,"HC YELLOW NO 7 ","Hair dye substance in oxidative hair dye products"
261,N -(2-Hydroxyethyl)-2-nitro-4- trifluormethyl-aniline,HC YELLOW NO 13,"(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2,5% For (a) and (b):  - Do not use with nitrosating agents - Maximum nitrosamine content: 50 microgram/Kg - Keep in nitrite-free containers"
262,"Benzenaminium, 3 -[(4,5-dihydro- 3-methyl-5-oxo-1-phenyl-1H- pyrazol-4-yl)azo]-N,N,Ntrimethyl-, chloride","BASIC YELLOW 57 ","Hair dye substance in non -oxidative hair dye products"
263,"Ethanol, 2,2′ -[[4-[(4-aminophenyl) azo]phenyl]imino]bis-","DISPERSE BLACK 9 ","Hair dye substance in non -oxidative hair dye products"
264,"9,10 -Anthracenedione, 1,4-bis [(2,3-dihydroxypropyl)amino]-","HC BLUE NO 14 ","Hair dye substance in non -oxidative hair dye products"
265,"1,4 -Diaminoanthraquinone",DISPERSE VIOLET 1,"Hair dye substance in non -oxidative hair dye products"
266,"Ethanol, 2 -((4- amino-2-nitrophenyl)amino)-",HC RED NO 3,"a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products"
267,[7 -Hydroxy-8-[(2- methoxyphenyl)azo]-2-naphthyl]trimethylammonium chloride,BASIC RED 76,"Hair dye substance non -oxidative hair dye products"
269,"2 -[[4-(Dimethylamino)phenyl]azo]-1,3- dimethyl-1H-imidazolium chloride",BASIC RED 51,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidatie hair dye products"
269,"Phenol, 2 -Amino- 5-Ethyl-, Hydrochloride",2-AMINO-5- ETHYLPHENOL HCL,"Hair dye substance in oxidative hair dye products"
270,"Fluorescein, 2',4',5',7' -tetrabromo-4,5,6,7- tetrachloro-, disodium salt (CI 45410)",ACID RED 92,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products"
271,"Mixture of (1), (2) & (3) in dispersing agent (lignosulphate): (1) 9,10 -Anthracenedione- 1,4-bis[(2- Hydroxyethyl)amino] (2) 9,10-Anthracenedione-1- [(2-Hydroxyethyl)amino]- 4-[(3- Hydroxypropyl)amino] (3) 9,10-anthracenedione- 1,4-bis[(3- hydroxypropyl)amino","DISPERSE BLUE 377 IS A MIXTURE OF THREE DYES:(1) 1,4-BIS[(2-HYDROXYETHYL)AMINO]ANTHRA-9,10-QUINONE/(2) 1-[(2-HYDROXYETHYL)AMINO]-4-[(3- HYDROXYPROPYL)AMINO]ANTHRA- 9,10-QUINONE/(3) 1,4-BIS[(3- HYDROXYPROPYL)AMINO]ANTHRA- 9,10-QUINONE","Hair dye substance in non -oxidative hair dye products"
272,4 -Aminophenol,P-AMINOPHENOL,"(a) Hair dye sub­stance in oxidat­ive hair dye products (b) Products in­tended for col­ouring eyelashes"
273,"4,5 -Diamino-1-(2- hydroxyethyl)-1H- pyrazole","1-HYDROXYETHYL-4,5- DIAMINO PYRAZOLE SULFATE","Hair dye substance in oxidative hair dye products"
274,"Quinolinium, 4 - formyl-1-methyl-, salt with 4- methylbenzenesulfonic acid (1:1)",4-FORMYL-1-METHYLQUINOLINIUM-P-TOLUENESULFONATE,"Hair dye substance in oxidative hair dye products"
275,"Pyridinium, 1 - methyl-4-[( methylphenylhydrazono)methyl]-, methyl sulfate",BASIC YELLOW 87,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products"
276,"2 -[(4-Aminophenyl)azo]-1,3- dimethyl-1H-imidazolium chloride",BASIC ORANGE 31,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products"
277,"2,6 -Pyridinediamine, 3-(3- pyridinylazo)","2,6-DIAMINO-3- ((PYRIDINE-3-YL)AZO)PYRIDINE","(a) Hair dye substance in oxidative hair dye products b) Hair dye substance in non -oxidative hair dye products"
278,"4 -((4-Amino-3- methylphenyl)(4- imino-3-methyl- 2,5-cyclohexadien-1- ylidene)methyl)-2- methylphenylamine monohydrochloride (CI 42520)",BASIC VIOLET 2,"a) Hair dye substance in oxidative hair dye products b) Hair dye substance in non -oxidative hair dye products"
279,"2,3 -Diamino-6,7- dihydro-1H,5H- pyrazolo[1,2-a] Pyrazol-1-one dimethanesulfonate","2,3-DIAMINODIHYDROPYRAZOLOPYRAZOLONE DIMETHOSULFONATE","Hair dye substance in oxidative hair dye products"
280,"2 -Amino-4,6-dinitrophenol and 2- amino-4,6-dinitrophenol, sodium salt",PICRAMIC ACID AND SODIUM PICRAMATE,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products"
281,"1 -Methylamino-2- nitro-5-(2,3-dihydroxy-propyloxy)- benzene",2-NITRO-5-GLYCERYL METHYLANILINE,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products"
282,"1 -Propanaminium, 3-[[9,10-dihydro- 4-(methylamino)- 9,10-dioxo-1- anthracenyl] amino]-N,N- dimethyl-N- propyl-, bromide",HC BLUE 16,"Hair dye substance in non -oxidative hair dye products"
283,3 -amino-2-chlor- 6-methylphenol  3-amino-4-chloro- 6-methylphenol HCl,5-AMINO-6-CHLORO-O- CRESOL / 5-AMINO-6-CHLORO-O- CRESOL HCL,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products"
284,"Phenol, 2,2' - methylenebis[4- amino-], dihydrochloride","2,2'-METHYLENEBIS 4-AMINOPHENOL HCL","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products"
285,"Pyridine -2,6- diyldiamine","2,6-DIAMINOPYRIDINE","(a) Hair dye substance in oxidative hair dye products (b) Products intended for colouring eyelashes"
286,C16 -alkyltrimethylammonium chloride C18-alkyltrimethyammonium chloride,CETRIMONIUM CHLORIDE (1) / STRARTRIMONIUM CHLORIDE (1),"(a) Rinse -off hair products (b) Leave-on hair products (c) Leave-on face products"
287,C22 -alkyltrimethylammonium chloride,BEHENTRIMONIUM CHLORIDE (1),"(a) Rinse -off hair products (b) Leave-on hair products (c) Leave-on face products"
288,"3 -[(4-amino-3- methyl-9,10-dioxo-9,10-dihydroanthracen-1- yl)amino]-N,N,N -trimethylpropan-1-aminium, methylsulfate salt","HC BLUE NO 17 ","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products "
289,"Phosphoric acid compound with 4 -[(2,6-dichlorophenyl) (4-imino- 3,5-dimethyl-2,5- cyclohexadien-1- ylidene) methyl]- 2,6-dimethylaniline (1:1)","HC BLUE NO 15 ","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products "
290,"Disodium 2,2′ - (9,10-dioxoanthracene-1,4-diyldiimino)bis(5- methylsulphonate)","ACID GREEN 25 ","Hair dye substance in non -oxidative hair dye products"
291,"Sodium, 4 - [(9,10-dihydro-4- hydroxy-9,10-dioxo-1-anthryl) amino]toluene-3- sulphonate","ACID VIOLET 43 ","Hair dye substance in non -oxidative hair dye products"
292,"1,4 -Benzenediamine, 2-(methoxymethyl)  1,4-Benzenediamine, 2-(methoxymethyl)-, sulfate",2-METHOXYMETHYL-P-PHENYLENEDIAMINE /2-METHOXYMETHYL-P-PHENYLENEDIAMINE SULFATE,"(a) Hair dye substance in oxidative hair dye products  (b) Products intended for colouring eyelashes"
293,"1 -N-Methylmorpholiniumpropylamino-4-hydroxyanthraquinone, methyl sulfate",HYDROXYANTHRAQUINONE-AMINOPROPYL METHYL MORPHOLINIUM METHOSULFATE,"Hair dye substance in non -oxidative hair dye products"
294,"Ethanol, 2,2′ -[[3- methyl-4-[(E)-(4- nitrophenyl)azo] phenyl]imino]bis-",DISPERSE RED 17,"(a)Hair dye substance in oxidative hair dye products  (b)Hair dye substance in non -oxidative hair dye products"
295,"4 -Amino-5-hydroxy-3-(4-nitrophenylazo)-6- (phenylazo)-2,7- naphthalenedisulfonic acid, disodium salt",ACID BLACK 1,"Hair dye substance in non -oxidative hair dye products"
296,Disodium 3 -hydroxy-4-[(E)-(4- methyl-2-sulfonatophenyl)diazenyl]-2-naphthoate,PIGMENT RED 57,"Hair dye substance in non -oxidative hair dye products"
297,"2 -(2-ethoxyethoxy)ethanol Diethylene Glycol Monoethyl Ether (DEGEE), Ethoxydiglycol",ETHOXYDIGLYCOL,"(a) Oxidative hair day products (b) Non -oxidative hair dye products (c) Rinse-off products other than hair dye products (d) Other non-spray cosmetic products (e) The following spray products: fine fragrances, hair sprays, antiperspirant and deodorant"
298,Di[2 -[4-[(E)-2-[4- [bis(2-hydroxyethyl)aminophenyl]vinyl]pyridin-1- ium] butanoyl]aminoethyl]di-sulfanyl dichloride,HC RED NO 17,"Hair dye substance in non -oxidative hair dye products "
299,"Di[2 -[4-[(E)-2- [2,4,5-trimethoxyphenyl]vinyl]pyridinin-1-ium]butanoyl]aminoethyl]disulfanyl dichloride",HC YELLOW NO 17,"Hair dye substance in non -oxidative hair dye products"
300,"1H -Pyrazole-4,5- diamine, 1-hexyl-, sulfate (2:1)","1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE ","Hair dye substance in oxidative hair dye products"
301,"4 -Hydroxy-2,5,6- triaminopyrimidine sulfate","2,5,6-TRIAMINO- 4-PYRIMIDINOL SULFATE","Hair dye substance in oxidative hair dye products"
302,"2 -[(3-Aminopyrazolo[1,5-a]pyridin-2- yl)oxy]ethanol hydrochloride","HYDROXYETHOXY AMINOPYRAZOLOPYRIDINE HCL ","Hair dye substance in oxidative hair dye products"
303,"Phenol, 3 -amino-2,6- dimethyl","3-AMINO-2,6- DIMETHYLPHENOL","Hair dye substance in oxidative hair dye products"
304,"2 -Naphthalenaminium, 8-[(4- amino-3-nitrophenyl)azo]-7-hydroxy- N,N,N-trimethyl-, chloride",BASIC BROWN 17,"Hair dye substance in non -oxidative hair dye products"
305,3 -Amino-7- (dimethylamino)-2- methoxyphenoxazin- 5-ium chloride,BASIC BLUE 124,"Hair dye substance in non -oxidative hair dye products"
306,"Peanut oil, extracts and derivatives ",ARACHIS HYPOGAEA OIL; ARACHIS HYPOGAEA SEEDCOAT EXTRACT; ARACHIS HYPOGAEA FLOUR; ARACHIS HYPOGAEA FRUIT EXTRACT; ARACHIS HYPOGAEA SPROUT EXTRACT; HYDROGENATED PEANUT OIL; PEANUT ACID; PEANUT GLYCERIDES; PEANUT OIL PEG-6 ESTERS; PEANUTAMIDE MEA; PEANUTAMIDE MIPA; POTASSIUM PEANUTATE; SODIUM PEANUTAMPHOACETATE; SODIUM PEANUTATE; SULFATED PEANUT OIL,
307,Hydrolyzed wheat protein,HYDROLYZED WHEAT PROTEIN,
308,Tagetes minuta flower extract; Tagetes minuta flower oil,,"(a) Leave -on products (b) Rinse-off products"
309,Tagetes patula flower extract; Tagetes patula flower oil,,"(a) Leave -on products (b) Rinse-off products"
310,"1 -(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one",CLIMBAZOLE,"Rinse -off anti-dandruff shampoo"
311,"Diphenyl(2,4,6 -trimethylbenzoyl)phosphine oxide",TRIMETHYLBENZOYL DIPHENYLPHOSPHINE OXIDE,"Artificial nail systems"
312,2 -Furaldehyde,FURFURAL,
313,2 -Hydroxyethyl Methacrylate,HEMA,"Nail products"
314,"11,14 -Dioxa-2,9-diazaheptadec-16-enoic Acid, 4,4,6,16-tetramethyl-10,15-dioxo, 2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl ester",DI-HEMA TRIMETHYLHEXYL DICARBAMATE,"Nail products"
315,"4 -(3-aminopyrazolo[1,5-A]pyridin-2-yl)-1,1-dimethylpiperazin-1-ium chloride hydrochloride",DIMETHYLPIPERAZINIUM AMINOPYRAZOLOPYRIDINE HCL,"Hair dye substance in oxidative hair dye products."
316,1 -(3-((4-Aminophenyl)amino)propyl)-3-methyl-1H-imidazol-3-ium chloride hydrochloride,METHYLIMIDAZOLIUMPROPYL P-PHENYLENEDIAMINE HCL,"Hair dye substance in oxidative hair dye products."
317,Di -[2-[(E)-2-[4-[bis(2-hydroxyethyl)aminophenyl]vinyl]pyridin-1-ium]-ethyl]disulphide dimethanesulfonate,HC ORANGE NO. 6,"Hair dye substance in non -oxidative hair dye products"
318," Sodium 4 -[(2-hydroxy-1-naphthyl)azo]benzene sulfonate",ACID ORANGE 7,"Hair dye substance in non -oxidative hair dye products."
319,"Phenol, 4,4' -(4,5,6,7-tetrabromo-1,1-dioxido-3H-2,1-benzoxathiol-3-ylidene)bis[2,6-dibromo-",TETRABROMOPHENOL BLUE,"(a) Hair dye substance in oxidative hair dye products  (b) Hair dye substance in non -oxidative hair dye products"
320,"Indigofera tinctoria, dried and pulverised leaves of Indigofera tinctoria L "," INDIGOFERA TINCTORIA LEAF; INDIGOFERA TINCTORIA LEAF POWDER; INDIGOFERA TINCTORIA LEAF EXTRACT; INDIGOFERA TINCTORIA EXTRACT","Hair dye substance in non -oxidative hair dye products."
321,Titanium dioxide in powder form containing 1 % or more of particles with aerodynamic diameter ≤ 10 μm,TITANIUM DIOXIDE,"(a) face  products in  loose powder form  (b) hair aerosol spray pro­ducts  (c) other products"
322,"1,3 -Dihydroxy-2-propanone",DIHYDROXYACETONE,"(a) Hair dye substance in non -oxidative hair dye products (*)  (b) Self-tanning products (*)  (*) From 26 January 2022 hair dye and self-tanning products containing that substance and not complying with the restrictions shall not be placed on the Union market. From 22 April 2022 hair dye and self-tanning products containing that substance and not complying with the restrictions shall not be made available on the Union market"
323,Methyl -N-methylanthranilate,METHYL N-METHYLANTHRANILATE,"(a) Leave -on products (b) Rinse-off products"
324,Methyl 2 -hydroxybenzoate,METHYL SALICYLATE,"(a) Leave -on skin products (except face makeup, spray/aerosol body lotion, spray/aerosol deodorant and hydroalcoholic-based fragrances) and leave on hair products (except spray/aerosol products)   (b) Face makeup (except lip products, eye makeup and makeup remover)  (c) Eye makeup and makeup remover   (d) Leave-on hair products (spray/aerosol)  (e) Deodorant spray/aerosol  (f) Body lotion spray/aerosol  (g) Rinse-off skin  products (except hand wash) and rinse-off hair products   (h) Hand wash   (i) Hydroalcoholic-based fragrances   (j) Lip products   (k) Toothpaste   (l) Mouthwash intended for children aged 6–10 years  (m) Mouthwash intended for children above 10 years of age and adults  (n) Mouth spray"
325,"2,6 -Di-Tert-Butyl-4-Methylphenol",BUTYLATED HYDROXYTOLUENE,"a) Mouthwash  b) Toothpaste  c) Other leave -on and rinse-off products"
326,"1H -Indene-1,3(2H)-dione, 2-(2-quinolinyl)-, sulfonated, sodium salts (CI 47005)",ACID YELLOW 3,"Non -oxidative hair dye products"